name,platform,size_kb,lines,blocks,n_inputs,indicators,open_blocks,pending,close_blocks,raw_trade_calls,has_sl,has_tp,lot_escalation,flags,n_copies,path,concept
(Boss) Redbull Racing add hedging lot_rev 9.7,mq4,311,11947,76,22,iATR,12,0,4,1,no,no,yes,NO_SL;LOT_ESCALATION;NO_CAP,3,D:\EA_LAB\_intake_drop\(Boss) Redbull Racing\old\(Boss) Redbull Racing add hedging lot_rev 9.7.mq4,session_time
(Boss) Redbull Racing add hedging lot_rev 9.71,mq4,311,11954,76,22,iATR,12,0,4,1,no,no,yes,NO_SL;LOT_ESCALATION;NO_CAP,3,D:\EA_LAB\_intake_drop\(Boss) Redbull Racing\old\(Boss) Redbull Racing add hedging lot_rev 9.71.mq4,session_time
(Boss) Redbull Racing add hedging lot_rev 9.72,mq4,312,11984,76,22,iATR,12,0,4,1,no,no,yes,NO_SL;LOT_ESCALATION;NO_CAP,3,D:\EA_LAB\_intake_drop\(Boss) Redbull Racing\old\(Boss) Redbull Racing add hedging lot_rev 9.72.mq4,session_time
(Boss) Redbull Racing add hedging lot_rev 9.72 safety time,mq4,312,11984,76,22,iATR,12,0,4,1,no,no,yes,NO_SL;LOT_ESCALATION;NO_CAP,3,D:\EA_LAB\_intake_drop\(Boss) Redbull Racing\old\(Boss) Redbull Racing add hedging lot_rev 9.72 safety time.mq4,session_time
(Boss) Redbull Racing add hedging lot_rev 9.73 dd atr,mq4,309,11909,77,22,iATR,12,0,4,1,no,no,yes,NO_SL;LOT_ESCALATION;NO_CAP,3,D:\EA_LAB\_intake_drop\(Boss) Redbull Racing\old\(Boss) Redbull Racing add hedging lot_rev 9.73 dd atr.mq4,indicator_generic
(Boss) Redbull Racing add hedging lot_rev 9.74 dd atr,mq4,309,11893,77,18,iATR,12,0,4,1,no,no,yes,NO_SL;LOT_ESCALATION;NO_CAP,6,D:\EA_LAB\_intake_drop\(Boss) Redbull Racing\(Boss) Redbull Racing add hedging lot_rev 9.74 dd atr.mq4,indicator_generic
(Boss) Redbull Racing add hedging lot_rev 9.8 safety time,mq4,312,11984,76,22,iATR,12,0,4,1,no,no,yes,NO_SL;LOT_ESCALATION;NO_CAP,6,D:\EA_LAB\_intake_drop\(Boss) Redbull Racing\(Boss) Redbull Racing add hedging lot_rev 9.8 safety time.mq4,session_time
(Boss) Redbull Racing add hedging lot_rev 9.81 safety time and once per bar,mq4,315,12108,80,22,iATR,12,0,4,1,no,no,yes,NO_SL;LOT_ESCALATION;NO_CAP,3,D:\EA_LAB\_intake_drop\(Boss) Redbull following\old\(Boss) Redbull Racing add hedging lot_rev 9.81 safety time and once per bar.mq4,session_time
(Boss) Redbull Racing add hedging lot_rev 9.82 safety time and once per bar,mq4,312,11987,76,22,iATR,12,0,4,1,no,no,yes,NO_SL;LOT_ESCALATION;NO_CAP,3,D:\EA_LAB\_intake_drop\(Boss) Redbull following\old\(Boss) Redbull Racing add hedging lot_rev 9.82 safety time and once per bar.mq4,session_time
(Boss) Redbull Racing add hedging lot_rev 9.83safety time and once per bar,mq4,311,11949,76,21,,12,0,4,1,no,no,yes,NO_SL;LOT_ESCALATION;NO_CAP,3,D:\EA_LAB\_intake_drop\(Boss) Redbull following\old\(Boss) Redbull Racing add hedging lot_rev 9.83safety time and once per bar.mq4,session_time
(Boss) Redbull Racing add hedging lot_rev 9.84safety time and once per bar,mq4,302,11639,70,21,,10,0,4,1,no,no,yes,NO_SL;LOT_ESCALATION;NO_CAP,3,D:\EA_LAB\_intake_drop\(Boss) Redbull following\old\(Boss) Redbull Racing add hedging lot_rev 9.84safety time and once per bar.mq4,session_time
(Boss) Redbull Racing add hedging lot_rev 9.85safety time and once per bar add PSAR,mq4,331,12688,87,22,iSAR,14,0,6,1,no,no,yes,NO_SL;LOT_ESCALATION;NO_CAP,3,D:\EA_LAB\_intake_drop\(Boss) Redbull following\old\(Boss) Redbull Racing add hedging lot_rev 9.85safety time and once per bar add PSAR.mq4,session_time
(Boss) Redbull Racing add hedging lot_rev 9.86 safety time and once per bar add PSAR,mq4,326,12556,84,23,iSAR,12,0,6,1,no,no,yes,NO_SL;LOT_ESCALATION;NO_CAP,3,D:\EA_LAB\_intake_drop\(Boss) Redbull following\old\(Boss) Redbull Racing add hedging lot_rev 9.86 safety time and once per bar add PSAR.mq4,session_time
(Boss) Redbull Racing add hedging lot_rev 9.861 safety time and once per bar add PSAR,mq4,327,12589,85,23,iSAR,12,0,6,1,no,no,yes,NO_SL;LOT_ESCALATION;NO_CAP,3,D:\EA_LAB\_intake_drop\(Boss) Redbull following\old\(Boss) Redbull Racing add hedging lot_rev 9.861 safety time and once per bar add PSAR.mq4,session_time
(Boss) Redbull Racing add hedging lot_rev 9.9 safety time and once per bar add PSAR,mq4,326,12589,85,23,iSAR,12,0,6,1,no,no,yes,NO_SL;LOT_ESCALATION;NO_CAP,3,D:\EA_LAB\_intake_drop\(Boss) Redbull following\old\(Boss) Redbull Racing add hedging lot_rev 9.9 safety time and once per bar add PSAR.mq4,session_time
(Boss) Redbull Racing add hedging lot_rev1,mq4,227,8650,29,8,,6,0,2,1,no,no,no,NO_SL,3,D:\EA_LAB\_intake_drop\(Boss) Redbull Racing\old\(Boss) Redbull Racing add hedging lot_rev1.mq4,unclassified
(Boss) Redbull Racing add hedging lot_rev2,mq4,231,8788,31,9,,6,0,2,1,no,no,yes,NO_SL;LOT_ESCALATION;NO_CAP,3,D:\EA_LAB\_intake_drop\(Boss) Redbull Racing\old\(Boss) Redbull Racing add hedging lot_rev2.mq4,unclassified
(Boss) Redbull Racing add hedging lot_rev2.1,mq4,230,8784,31,8,,6,0,2,1,no,no,yes,NO_SL;LOT_ESCALATION;NO_CAP,3,D:\EA_LAB\_intake_drop\(Boss) Redbull Racing\old\(Boss) Redbull Racing add hedging lot_rev2.1.mq4,unclassified
(Boss) Redbull Racing add hedging lot_rev3.1_add TP hedging,mq4,230,8748,32,9,,6,0,3,1,no,yes,yes,NO_SL;LOT_ESCALATION;NO_CAP,3,D:\EA_LAB\_intake_drop\(Boss) Redbull Racing\old\(Boss) Redbull Racing add hedging lot_rev3.1_add TP hedging.mq4,unclassified
(Boss) Redbull Racing add hedging lot_rev3_add TP hedging,mq4,233,8886,34,9,,6,0,3,1,no,yes,yes,NO_SL;LOT_ESCALATION;NO_CAP,3,D:\EA_LAB\_intake_drop\(Boss) Redbull Racing\old\(Boss) Redbull Racing add hedging lot_rev3_add TP hedging.mq4,unclassified
(Boss) Redbull Racing add hedging lot_rev4.1_add ATR MM remove upper,mq4,233,8881,35,8,iATR,6,0,4,1,no,yes,no,NO_SL,3,D:\EA_LAB\_intake_drop\(Boss) Redbull Racing\old\(Boss) Redbull Racing add hedging lot_rev4.1_add ATR MM remove upper.mq4,indicator_generic
(Boss) Redbull Racing add hedging lot_rev4.2_add lot hedging multi,mq4,236,9023,37,9,iATR,6,0,4,1,no,yes,yes,NO_SL;LOT_ESCALATION;NO_CAP,3,D:\EA_LAB\_intake_drop\(Boss) Redbull Racing\old\(Boss) Redbull Racing add hedging lot_rev4.2_add lot hedging multi.mq4,grid_basket
(Boss) Redbull Racing add hedging lot_rev4.3_add lot hedging multi_fix_bug,mq4,236,9023,37,9,iATR,6,0,4,1,no,no,yes,NO_SL;LOT_ESCALATION;NO_CAP,6,D:\EA_LAB\_intake_drop\(Boss) Redbull Racing\(Boss) Redbull Racing add hedging lot_rev4.3_add lot hedging multi_fix_bug.mq4,grid_basket
(Boss) Redbull Racing add hedging lot_rev4.3_add lot hedging multi_fix_bug,mq5,382,12249,37,9,iATR,6,0,4,7,no,no,yes,NO_SL;LOT_ESCALATION;NO_CAP,6,D:\EA_LAB\_intake_drop\(Boss) Redbull Racing\(Boss) Redbull Racing add hedging lot_rev4.3_add lot hedging multi_fix_bug.mq5,grid_basket
(Boss) Redbull Racing add hedging lot_rev4_add ATR MM,mq4,233,8883,35,8,iATR,6,0,4,1,no,yes,no,NO_SL,3,D:\EA_LAB\_intake_drop\(Boss) Redbull Racing\old\(Boss) Redbull Racing add hedging lot_rev4_add ATR MM.mq4,indicator_generic
(Boss) Redbull Racing add hedging lot_rev5 add ADX mode,mq4,268,10158,62,20,iADX;iATR,10,0,6,1,no,no,yes,NO_SL;LOT_ESCALATION;NO_CAP,3,D:\EA_LAB\_intake_drop\(Boss) Redbull Racing\old\(Boss) Redbull Racing add hedging lot_rev5 add ADX mode.mq4,trend_follow
(Boss) Redbull Racing add hedging lot_rev6 .2 PSAR add close,mq4,285,10876,65,15,iATR;iSAR,10,0,6,1,no,no,yes,NO_SL;LOT_ESCALATION;NO_CAP,3,D:\EA_LAB\_intake_drop\(Boss) Redbull Racing\old\(Boss) Redbull Racing add hedging lot_rev6 .2 PSAR add close.mq4,grid_basket
(Boss) Redbull Racing add hedging lot_rev6 .2 PSAR add close_check psar,mq4,285,10876,65,15,iATR;iSAR,10,0,6,1,no,no,yes,NO_SL;LOT_ESCALATION;NO_CAP,3,D:\EA_LAB\_intake_drop\(Boss) Redbull Racing\old\(Boss) Redbull Racing add hedging lot_rev6 .2 PSAR add close_check psar.mq4,grid_basket
(Boss) Redbull Racing add hedging lot_rev6 .3 PSAR add close_check psar,mq4,285,10876,65,15,iATR;iSAR,10,0,6,1,no,no,yes,NO_SL;LOT_ESCALATION;NO_CAP,3,D:\EA_LAB\_intake_drop\(Boss) Redbull Racing\old\(Boss) Redbull Racing add hedging lot_rev6 .3 PSAR add close_check psar.mq4,grid_basket
(Boss) Redbull Racing add hedging lot_rev6 .4 PSAR add close_check psar,mq4,285,10876,65,15,iATR;iSAR,10,0,6,1,no,no,yes,NO_SL;LOT_ESCALATION;NO_CAP,3,D:\EA_LAB\_intake_drop\(Boss) Redbull Racing\old\(Boss) Redbull Racing add hedging lot_rev6 .4 PSAR add close_check psar.mq4,grid_basket
(Boss) Redbull Racing add hedging lot_rev6 .5 PSAR for trend,mq4,285,10874,65,15,iATR;iSAR,10,0,6,1,no,no,yes,NO_SL;LOT_ESCALATION;NO_CAP,3,D:\EA_LAB\_intake_drop\(Boss) Redbull Racing\old\(Boss) Redbull Racing add hedging lot_rev6 .5 PSAR for trend.mq4,grid_basket
(Boss) Redbull racing reverse,mq4,230,8839,27,6,,4,0,2,1,no,no,no,NO_SL,6,D:\EA_LAB\_intake_drop\(Boss) Redbull Racing\(Boss) Redbull racing reverse.mq4,unclassified
(Boss) Redbull racing reverse rev 1.11,mq4,242,9251,36,6,,6,0,3,1,no,no,no,NO_SL,3,D:\EA_LAB\_intake_drop\(Boss) Redbull following\old\(Boss) Redbull racing reverse rev 1.11.mq4,unclassified
(Boss) Redbull racing reverse rev 1.2 with hedging,mq4,277,10742,49,7,,8,0,3,1,no,no,no,NO_SL,3,D:\EA_LAB\_intake_drop\(Boss) Redbull following\old\(Boss) Redbull racing reverse rev 1.2 with hedging.mq4,unclassified
(Boss) Redbull racing reverse rev 1.21 with hedging,mq4,279,10830,51,7,,8,0,3,1,no,no,no,NO_SL,3,D:\EA_LAB\_intake_drop\(Boss) Redbull following\old\(Boss) Redbull racing reverse rev 1.21 with hedging.mq4,unclassified
(Boss) Redbull racing reverse rev 1.22 with hedging,mq4,279,10824,51,7,,8,0,3,1,no,no,no,NO_SL,3,D:\EA_LAB\_intake_drop\(Boss) Redbull following\old\(Boss) Redbull racing reverse rev 1.22 with hedging.mq4,unclassified
(Boss) Redbull racing reverse rev 1.23 with hedging,mq4,279,10823,51,7,,8,0,3,1,no,no,no,NO_SL,3,D:\EA_LAB\_intake_drop\(Boss) Redbull following\old\(Boss) Redbull racing reverse rev 1.23 with hedging.mq4,unclassified
(Boss) Redbull racing reverse rev 1.24 with hedging,mq4,280,10837,51,9,,8,0,3,1,no,no,no,NO_SL,3,D:\EA_LAB\_intake_drop\(Boss) Redbull following\old\(Boss) Redbull racing reverse rev 1.24 with hedging.mq4,unclassified
(Boss) Redbull racing reverse rev 1.25 with hedging,mq4,280,10870,52,9,,8,0,3,1,no,no,no,NO_SL,3,D:\EA_LAB\_intake_drop\(Boss) Redbull following\old\(Boss) Redbull racing reverse rev 1.25 with hedging.mq4,unclassified
(Boss) Redbull racing reverse rev 1.26 with hedging,mq4,280,10837,51,9,,8,0,3,1,no,no,no,NO_SL,3,D:\EA_LAB\_intake_drop\(Boss) Redbull following\old\(Boss) Redbull racing reverse rev 1.26 with hedging.mq4,unclassified
(Boss) Redbull racing reverse rev 1.27 with hedging,mq4,287,11160,57,9,,8,0,3,1,no,no,no,NO_SL,3,D:\EA_LAB\_intake_drop\(Boss) Redbull following\old\(Boss) Redbull racing reverse rev 1.27 with hedging.mq4,unclassified
(Boss)_RSI_MR_GridLog_rev01,mq5,29,661,0,48,iATR;iMA;iMACD;iRSI,0,0,0,0,no,no,no,,1,D:\EA_LAB\ea_projects\(Boss)_RSI_MR_GridLog\(Boss)_RSI_MR_GridLog_rev01.mq5,reversion+grid_basket
(Boss)Advance MM Connect DL by WOBR,mq5,392,15528,144,14,iATR,4,0,3,4,no,no,yes,NO_SL;LOT_ESCALATION;NO_CAP,3,D:\EA_LAB\_intake_drop\Template\old\(Boss)Advance MM Connect DL by WOBR.mq5,session_time
(Boss)Advance MM Connect DL by WOBR rev 1,mq5,396,15682,146,17,iATR,4,0,3,4,no,no,yes,NO_SL;LOT_ESCALATION;NO_CAP,3,D:\EA_LAB\_intake_drop\Template\old\(Boss)Advance MM Connect DL by WOBR rev 1.mq5,session_time
(Boss)Advance MM Connect DL by WOBR rev 1.1,mq5,396,15675,146,16,iATR,4,0,3,4,no,no,yes,NO_SL;LOT_ESCALATION;NO_CAP,3,D:\EA_LAB\_intake_drop\Template\old\(Boss)Advance MM Connect DL by WOBR rev 1.1.mq5,session_time
(Boss)Advance MM Connect DL by WOBR rev 1.2,mq5,396,15671,146,15,iATR,4,0,3,4,no,no,yes,NO_SL;LOT_ESCALATION;NO_CAP,3,D:\EA_LAB\_intake_drop\Template\old\(Boss)Advance MM Connect DL by WOBR rev 1.2.mq5,session_time
(Boss)Advance MM Connect DL by WOBR rev 1.3,mq5,454,18005,172,16,iATR,4,0,3,4,no,no,yes,NO_SL;LOT_ESCALATION;NO_CAP,3,D:\EA_LAB\_intake_drop\Template\old\(Boss)Advance MM Connect DL by WOBR rev 1.3.mq5,session_time+trend_follow
(Boss)Advance MM Connect DL by WOBR rev 1.4,mq5,460,18245,178,18,iATR,4,0,3,4,no,no,yes,NO_SL;LOT_ESCALATION;NO_CAP,3,D:\EA_LAB\_intake_drop\Template\old\(Boss)Advance MM Connect DL by WOBR rev 1.4.mq5,session_time+trend_follow
(Boss)Advance MM Connect DL by WOBR rev 1.41,mq5,477,18846,180,18,iATR,4,0,3,4,no,no,yes,NO_SL;LOT_ESCALATION;NO_CAP,3,D:\EA_LAB\_intake_drop\Template\old\(Boss)Advance MM Connect DL by WOBR rev 1.41.mq5,session_time+trend_follow
(Boss)Advance MM Connect DL by WOBR rev 1.5,mq5,505,19977,192,18,iATR,4,0,3,4,no,no,yes,NO_SL;LOT_ESCALATION;NO_CAP,3,D:\EA_LAB\_intake_drop\Template\(Boss)Advance MM Connect DL by WOBR rev 1.5.mq5,session_time+trend_follow
(Boss)Advance MM Connect DL by WOBR rev 1.55,mq5,511,20248,198,18,iATR,4,0,3,4,no,no,yes,NO_SL;LOT_ESCALATION;NO_CAP,2,D:\Forex\30_OPTIMIZATION\OLD_Report\00. Dpwnload\(Boss)Advance MM Connect DL by WOBR rev 1.55.mq5,session_time+trend_follow
(Boss)Advance MM_Envelope,mq5,392,15528,144,14,iATR,4,0,3,4,no,no,yes,NO_SL;LOT_ESCALATION;NO_CAP,3,D:\EA_LAB\_intake_drop\Template\old\(Boss)Advance MM_Envelope.mq5,session_time
(Boss)Advance MM_MACD,mq5,392,15528,144,14,iATR,4,0,3,4,no,no,yes,NO_SL;LOT_ESCALATION;NO_CAP,3,D:\EA_LAB\_intake_drop\Template\old\(Boss)Advance MM_MACD.mq5,session_time
(Boss)Advance MM_RSI,mq5,392,15528,144,14,iATR,4,0,3,4,no,no,yes,NO_SL;LOT_ESCALATION;NO_CAP,3,D:\EA_LAB\_intake_drop\Template\old\(Boss)Advance MM_RSI.mq5,session_time
(Boss)Advance MM_SAR,mq5,392,15528,144,14,iATR,4,0,3,4,no,no,yes,NO_SL;LOT_ESCALATION;NO_CAP,3,D:\EA_LAB\_intake_drop\Template\old\(Boss)Advance MM_SAR.mq5,session_time
(Boss)Rebate adx,mq5,263,10130,41,10,iADX;iMA,6,0,2,4,no,no,no,NO_SL,3,D:\EA_LAB\_intake_drop\(Boss) trend ema +adx\old\(Boss)Rebate adx.mq5,trend_follow
(Boss)Rebate adx v1,mq5,241,9248,29,8,iADX,4,0,3,4,no,no,no,NO_SL,3,D:\EA_LAB\_intake_drop\(Boss) trend ema +adx\old\(Boss)Rebate adx v1.mq5,trend_follow
(Boss)Rebate trend+adx,mq5,263,10136,41,10,iADX;iMA,6,0,2,4,no,no,no,NO_SL,3,D:\EA_LAB\_intake_drop\(Boss) trend ema +adx\old\(Boss)Rebate trend+adx.mq5,trend_follow
(Boss)Rebate trend+adx v2.2,mq5,276,10600,51,10,iADX;iMA,8,0,2,4,no,no,no,NO_SL,3,D:\EA_LAB\_intake_drop\(Boss) trend ema +adx\old\(Boss)Rebate trend+adx v2.2.mq5,trend_follow
(Boss)Rebate trend+adx v3,mq5,301,11512,73,10,iADX;iMA,12,0,2,4,no,no,no,NO_SL,3,D:\EA_LAB\_intake_drop\(Boss) trend ema +adx\old\(Boss)Rebate trend+adx v3.mq5,trend_follow
(Boss)Rebate trend+adx v3.2,mq5,307,11740,75,10,iADX;iMA,12,0,2,4,no,no,no,NO_SL,3,D:\EA_LAB\_intake_drop\(Boss) trend ema +adx\old\(Boss)Rebate trend+adx v3.2.mq5,trend_follow
(Boss)Rebate trend+adx v3.4,mq5,307,11741,75,10,iADX;iMA,12,0,2,4,no,no,no,NO_SL,3,D:\EA_LAB\_intake_drop\(Boss) trend ema +adx\old\(Boss)Rebate trend+adx v3.4.mq5,trend_follow
(Boss)Rebate trend+adx v4,mq5,325,12512,85,13,iADX;iMA,12,0,2,4,no,no,yes,NO_SL;LOT_ESCALATION;NO_CAP,3,D:\EA_LAB\_intake_drop\(Boss) trend ema +adx\old\(Boss)Rebate trend+adx v4.mq5,trend_follow
(Boss)Rebate trend+adx v4.1,mq5,330,12759,89,13,iADX;iMA,12,0,2,4,no,no,yes,NO_SL;LOT_ESCALATION;NO_CAP,3,D:\EA_LAB\_intake_drop\(Boss) trend ema +adx\old\(Boss)Rebate trend+adx v4.1.mq5,trend_follow
(Boss)RSI_OBOS rev 5 (MM ATR and TP percent and pip),mq5,268,10397,38,12,iATR;iRSI,4,0,3,4,no,no,yes,NO_SL;LOT_ESCALATION;NO_CAP,9,D:\EA_LAB\_intake_drop\.Boss\(Boss)RSI_OBOS rev 5 (MM ATR and TP percent and pip).mq5,reversion
(Boss)RSI_OBOS rev 5 (MT4),mq4,241,9372,38,12,iATR;iRSI,4,0,3,1,no,no,yes,NO_SL;LOT_ESCALATION;NO_CAP,9,D:\EA_LAB\_intake_drop\.Boss\(Boss)RSI_OBOS rev 5 (MT4).mq4,reversion
(Boss)supermax,mq4,198,7752,18,2,iAC,1,0,1,1,no,yes,no,NO_SL,3,D:\EA_LAB\_intake_drop\(Boss) supermax\(Boss)supermax.mq4,indicator_generic
(Boss)trend ema+adx v4.1,mq5,330,12759,89,13,iADX;iMA,12,0,2,4,no,no,yes,NO_SL;LOT_ESCALATION;NO_CAP,3,D:\EA_LAB\_intake_drop\(Boss) trend ema +adx\old\(Boss)trend ema+adx v4.1.mq5,trend_follow
(Boss)trend ema+adx v5.0,mq5,332,12805,89,21,iADX;iMA,12,0,2,4,no,no,yes,NO_SL;LOT_ESCALATION;NO_CAP,3,D:\EA_LAB\_intake_drop\(Boss) trend ema +adx\old\(Boss)trend ema+adx v5.0.mq5,trend_follow
(Boss)Trend ema+adx V5.2,mq4,306,11778,89,15,iADX;iMA,12,0,2,1,no,no,yes,NO_SL;LOT_ESCALATION;NO_CAP,3,D:\EA_LAB\_intake_drop\(Boss) Price Action -Martingale +TMA\old\(Boss)Trend ema+adx V5.2.mq4,session_time
(Boss)trend ema+adx v5.2 Final,mq5,332,12792,89,15,iADX;iMA,12,0,2,4,no,no,yes,NO_SL;LOT_ESCALATION;NO_CAP,3,D:\EA_LAB\_intake_drop\(Boss) Price Action -Martingale +TMA\old\(Boss)trend ema+adx v5.2 Final.mq5,session_time
(Boss)Trend ema+adx V5.21 MT4,mq4,306,11782,89,16,iADX;iMA,12,0,2,1,no,no,yes,NO_SL;LOT_ESCALATION;NO_CAP,3,D:\EA_LAB\_intake_drop\(Boss) trend ema +adx\(Boss)Trend ema+adx V5.21 MT4.mq4,session_time
(Boss)Trend ema+adx V5.21 MT4,mq5,465,15379,89,16,iADX;iMA,12,0,2,7,no,no,yes,NO_SL;LOT_ESCALATION;NO_CAP,3,D:\EA_LAB\_intake_drop\(Boss) trend ema +adx\(Boss)Trend ema+adx V5.21 MT4.mq5,session_time
(Boss)Trend ema+adx V5.3,mq4,309,11917,92,20,iADX;iMA,12,0,2,1,no,no,yes,NO_SL;LOT_ESCALATION;NO_CAP,3,D:\EA_LAB\_intake_drop\(Boss) Price Action -Martingale +TMA\old\(Boss)Trend ema+adx V5.3.mq4,session_time
(Boss)trend ema+adx v5.3 Final,mq5,335,12910,92,18,iADX;iMA,12,0,2,4,no,no,yes,NO_SL;LOT_ESCALATION;NO_CAP,3,D:\EA_LAB\_intake_drop\(Boss) Price Action -Martingale +TMA\old\(Boss)trend ema+adx v5.3 Final.mq5,session_time
(Boss)Trend ema+adx V5.6 mt4 fix lot,mq4,355,13619,129,24,iADX;iMA,18,0,2,1,no,no,yes,NO_SL;LOT_ESCALATION;NO_CAP,3,D:\EA_LAB\_intake_drop\(Boss) Price Action -Martingale +TMA\old\(Boss)Trend ema+adx V5.6 mt4 fix lot.mq4,session_time
(Boss)Trend ema+adx V5.7 mt4 fix lot,mq4,355,13623,129,25,iADX;iMA,18,0,2,1,no,no,yes,NO_SL;LOT_ESCALATION;NO_CAP,3,D:\EA_LAB\_intake_drop\(Boss) Price Action -Martingale +TMA\old\(Boss)Trend ema+adx V5.7 mt4 fix lot.mq4,session_time
(Boss)Trend ema+adx V5.8 mt4 select mode,mq4,399,14989,161,26,iADX;iMA,32,0,2,1,no,no,yes,NO_SL;LOT_ESCALATION;NO_CAP,3,D:\EA_LAB\_intake_drop\(Boss) Price Action -Martingale +TMA\old\(Boss)Trend ema+adx V5.8 mt4 select mode.mq4,session_time
(Boss)Trend ema+adx V6 mt4 atr nearby,mq4,394,14786,155,33,iADX;iATR;iMA,31,0,2,1,no,no,yes,NO_SL;LOT_ESCALATION;NO_CAP,3,D:\EA_LAB\_intake_drop\(Boss) Price Action -Martingale +TMA\old\(Boss)Trend ema+adx V6 mt4 atr nearby.mq4,session_time
(Boss)Trend ema+adx V6.1 mt4 atr nearby,mq4,398,14928,157,33,iADX;iATR;iMA,31,0,2,1,no,no,yes,NO_SL;LOT_ESCALATION;NO_CAP,3,D:\EA_LAB\_intake_drop\(Boss) Price Action -Martingale +TMA\old\(Boss)Trend ema+adx V6.1 mt4 atr nearby.mq4,session_time
(Boss)Trend ema+adx V6.12 mt4 atr nearby,mq4,413,15478,158,33,iADX;iATR;iMA,31,0,2,1,no,no,yes,NO_SL;LOT_ESCALATION;NO_CAP,3,D:\EA_LAB\_intake_drop\(Boss) Price Action -Martingale +TMA\old\(Boss)Trend ema+adx V6.12 mt4 atr nearby.mq4,session_time
(Boss)Trend ema+adx V6.13 mt4 atr nearby,mq4,419,15701,165,33,iADX;iATR;iMA,31,0,4,1,no,no,yes,NO_SL;LOT_ESCALATION;NO_CAP,3,D:\EA_LAB\_intake_drop\(Boss) Price Action -Martingale +TMA\old\(Boss)Trend ema+adx V6.13 mt4 atr nearby.mq4,session_time
(Boss)Trend ema+adx V6.14 mt4 atr nearby,mq4,419,15699,165,33,iADX;iATR;iMA,31,0,4,1,no,no,yes,NO_SL;LOT_ESCALATION;NO_CAP,3,D:\EA_LAB\_intake_drop\(Boss) Price Action -Martingale +TMA\old\(Boss)Trend ema+adx V6.14 mt4 atr nearby.mq4,session_time
(Boss)Trend ema+adx V6.15 mt4 atr nearby,mq4,419,15698,165,33,iADX;iATR;iMA,31,0,4,1,no,no,yes,NO_SL;LOT_ESCALATION;NO_CAP,3,D:\EA_LAB\_intake_drop\(Boss) Price Action -Martingale +TMA\old\(Boss)Trend ema+adx V6.15 mt4 atr nearby.mq4,session_time
(Boss)Trend ema+adx V6.15 mt4 atr nearby,mq5,579,19363,165,33,iADX;iATR;iMA,31,0,4,7,no,no,yes,NO_SL;LOT_ESCALATION;NO_CAP,3,D:\EA_LAB\_intake_drop\(Boss) Price Action -Martingale +TMA\old\(Boss)Trend ema+adx V6.15 mt4 atr nearby.mq5,session_time
(Boss)Trend ema+adx V6.2 mt4 dynamic atr TP MM,mq4,371,13991,131,33,iADX;iATR;iMA,22,0,6,1,no,no,yes,NO_SL;LOT_ESCALATION;NO_CAP,3,D:\EA_LAB\_intake_drop\(Boss) Price Action -Martingale +TMA\old\(Boss)Trend ema+adx V6.2 mt4 dynamic atr TP MM.mq4,session_time
(Boss)Trend ema+adx V6.21 mt4 dynamic atr TP MM,mq4,373,14064,132,34,iADX;iATR;iMA,22,0,6,1,no,no,yes,NO_SL;LOT_ESCALATION;NO_CAP,3,D:\EA_LAB\_intake_drop\(Boss) Price Action -Martingale +TMA\old\(Boss)Trend ema+adx V6.21 mt4 dynamic atr TP MM.mq4,session_time
(Boss)Trend ema+adx V6.31 mt4 dynamic atr TP MM,mq4,374,14102,132,34,iADX;iATR;iMA,22,0,6,1,no,no,yes,NO_SL;LOT_ESCALATION;NO_CAP,3,D:\EA_LAB\_intake_drop\(Boss) Price Action -Martingale +TMA\old\(Boss)Trend ema+adx V6.31 mt4 dynamic atr TP MM.mq4,session_time
(Boss)Trend ema+adx V6.33 mt4 dynamic atr TP MM,mq4,374,14102,132,34,iADX;iATR;iMA,22,0,6,1,no,no,yes,NO_SL;LOT_ESCALATION;NO_CAP,3,D:\EA_LAB\_intake_drop\(Boss) Price Action -Martingale +TMA\old\(Boss)Trend ema+adx V6.33 mt4 dynamic atr TP MM.mq4,session_time
(Boss)Trend ema+adx V6.34 mt4 dynamic atr TP MM,mq4,375,14162,134,34,iADX;iATR;iMA,22,0,8,1,no,no,yes,NO_SL;LOT_ESCALATION;NO_CAP,3,D:\EA_LAB\_intake_drop\(Boss) Price Action -Martingale +TMA\old\(Boss)Trend ema+adx V6.34 mt4 dynamic atr TP MM.mq4,session_time
(Boss)Trend ema+adx V6.41 mt4 dynamic atr TP MM,mq4,379,14318,138,34,iADX;iATR;iMA,22,0,8,1,no,no,yes,NO_SL;LOT_ESCALATION;NO_CAP,6,D:\EA_LAB\_intake_drop\(Boss) trend ema +adx\(Boss)Trend ema+adx V6.41 mt4 dynamic atr TP MM.mq4,session_time
(Boss)Trend ema+adx V6.41 mt4 dynamic atr TP MM,mq5,539,17947,138,34,iADX;iATR;iMA,22,0,8,7,no,no,yes,NO_SL;LOT_ESCALATION;NO_CAP,3,D:\EA_LAB\_intake_drop\(Boss) trend ema +adx\(Boss)Trend ema+adx V6.41 mt4 dynamic atr TP MM.mq5,session_time
(Boss)Trend ema+adx V6.42 mt4 dynamic atr TP MM,mq4,381,14413,139,34,iADX;iATR;iMA,22,0,8,1,no,no,yes,NO_SL;LOT_ESCALATION;NO_CAP,3,D:\EA_LAB\_intake_drop\(Boss) trend ema +adx\old\(Boss)Trend ema+adx V6.42 mt4 dynamic atr TP MM.mq4,session_time
