file,kb,category,topic_hint,worth_deep_read
wait for test\2- OK\Expert Advisor and indicator\Expert Advisor and indicator\Ea\Downloads\YOLO Diamond hands v4.4\YOLO Diamond hands v4.4\Useful Information for a Trader.pdf,17,junk,PDF-1.7 1 0 obj Type/Catalog/Pages 2 0 R/Lang(ru-BY) /StructTreeRoot 22 0 R/MarkInfo Marked true,N
wait for test\2- OK\Expert Advisor and indicator\Expert Advisor and indicator\Ea\Downloads\YOLO Diamond hands v4.4\YOLO Diamond hands v4.4\msimg32\Full Instructions.pdf,705,ea-manual,PDF-1.6 1 0 obj Type/Catalog/Pages 2 0 R/Lang( StructTreeRoot 74 0 R/MarkInfo Marked true,N
wait for test\2- OK\Expert Advisor and indicator\Expert Advisor and indicator\Ea\Downloads\YOLO Diamond hands v4.4\YOLO Diamond hands v4.4\msimg32\RULES AVOID MQL5 BAN.pdf,560,junk,PDF-1.6 1 0 obj Type/Catalog/Pages 2 0 R/Lang( y)/StructTreeRoot 32 0 R/MarkInfo 73 0,N
wait for test\31 dec 23\Indicator Vault - All Indicators (incl. Bonus Indicators)\02 Bonus Indicators\Magic Breakout System.pdf,319,strategy-book,Breakout trading rules or indicator guide,Y
wait for test\31 dec 23\Indicator Vault - All Indicators (incl. Bonus Indicators)\01 Indicators\01. Trend Trading Cloud\TrendTradingCloud-UserGuide.pdf,138,strategy-book,PDF-1.3 5 0 obj Length 6 0 R/Filter /FlateDecode stream RsTVxO cblccz endstream endobj,Y
wait for test\31 dec 23\Indicator Vault - All Indicators (incl. Bonus Indicators)\01 Indicators\02. Pullback Factor\PullbackFactor-UserGuide.pdf,183,strategy-book,PDF-1.5 3 0 obj Type /Page Parent 2 0 R Resources ProcSet [/PDF /Text,Y
wait for test\31 dec 23\Indicator Vault - All Indicators (incl. Bonus Indicators)\01 Indicators\03. Laser Reversal\LaserReversal-UserGuide.pdf,210,strategy-book,PDF-1.4 2 0 obj Length 3 0 R/Filter/FlateDecode stream endstream endobj 3 0 obj,Y
wait for test\31 dec 23\Indicator Vault - All Indicators (incl. Bonus Indicators)\01 Indicators\04. Scientific Scalper\ScientificScalper-UserGuide.pdf,187,strategy-book,Scalping strategy or EA guide,Y
wait for test\31 dec 23\Indicator Vault - All Indicators (incl. Bonus Indicators)\01 Indicators\05. Trend Focus\TrendFocus-UserGuide.pdf,138,strategy-book,PDF-1.3 5 0 obj Length 6 0 R/Filter /FlateDecode stream o6OADB eendstream endobj 6,Y
wait for test\31 dec 23\Indicator Vault - All Indicators (incl. Bonus Indicators)\01 Indicators\06. Precision Strength Meter\PrecisionStrengthMeter-UserGuide.pdf,137,ea-manual,PDF-1.4 5 0 obj Length 6 0 R/Filter /FlateDecode stream kb.jtP endstream endobj 6,N
wait for test\31 dec 23\Indicator Vault - All Indicators (incl. Bonus Indicators)\01 Indicators\07. Logic Trendline\LogicTrendline-User-Guide.pdf,208,strategy-book,PDF-1.5 3 0 obj Type /Page Parent 2 0 R Resources ProcSet [/PDF /Text,Y
wait for test\31 dec 23\Indicator Vault - All Indicators (incl. Bonus Indicators)\01 Indicators\08. Linear Regression Channel\LinearRegressionChannel-UserGuide.pdf,190,ea-manual,PDF-1.7 1 0 obj Type/Catalog/Pages 2 0 R/Lang(en-US) /StructTreeRoot 24 0 R/MarkInfo Marked true,Y
wait for test\31 dec 23\Indicator Vault - All Indicators (incl. Bonus Indicators)\01 Indicators\09. AB=CD Dashboard\guide.pdf,213,ea-manual,PDF-1.7 1 0 obj Type/Catalog/Pages 2 0 R/Lang(en-US) /StructTreeRoot 27 0 R/MarkInfo Marked true,Y
wait for test\31 dec 23\Indicator Vault - All Indicators (incl. Bonus Indicators)\01 Indicators\10. Better Trend Trading\BetterTrend-UserGuide.pdf,62,strategy-book,PDF-1.5 1 0 obj Type /Catalog Pages 2 0 R endobj 2 0 obj,Y
wait for test\31 dec 23\Indicator Vault - All Indicators (incl. Bonus Indicators)\01 Indicators\11. Drag _ Drop Volume Profile\DragDropVolumeProfile-UserGuide.pdf,434,ea-manual,PDF-1.3 5 0 obj Length 6 0 R/Filter /FlateDecode stream 6m#g5Sgs endstream endobj 6,N
wait for test\31 dec 23\Indicator Vault - All Indicators (incl. Bonus Indicators)\01 Indicators\12. Mean Reversion\MeanReversionr-UserGuide.pdf,183,strategy-book,PDF-1.5 3 0 obj Type /Page Parent 2 0 R Resources ProcSet [/PDF /Text,Y
wait for test\31 dec 23\Indicator Vault - All Indicators (incl. Bonus Indicators)\01 Indicators\13. Swing Force\SwingForce-UserGuide.pdf,90,ea-manual,PDF-1.4 2 0 obj Length 3 0 R/Filter/FlateDecode stream S3L1 [ BxUcmM endstream endobj,Y
wait for test\31 dec 23\Indicator Vault - All Indicators (incl. Bonus Indicators)\01 Indicators\14. Pin Bar Setup\guide.pdf,190,strategy-book,PDF-1.7 1 0 obj Type/Catalog/Pages 2 0 R/Lang(en-US) /StructTreeRoot 24 0 R/MarkInfo Marked true,Y
wait for test\31 dec 23\Indicator Vault - All Indicators (incl. Bonus Indicators)\01 Indicators\15. Smart Range Bar Chart\SmartRangeBar-Charts-User-Guide.pdf,463,ea-manual,PDF-1.5 6 0 obj Type /XObject Subtype /Image BitsPerComponent 8 Width 205 Height 377,N
wait for test\31 dec 23\Indicator Vault - All Indicators (incl. Bonus Indicators)\01 Indicators\16. Candle Meter\guide.pdf,192,ea-manual,PDF-1.7 1 0 obj Type/Catalog/Pages 2 0 R/Lang(en-US) /StructTreeRoot 24 0 R/MarkInfo Marked true,N
wait for test\31 dec 23\Indicator Vault - All Indicators (incl. Bonus Indicators)\01 Indicators\17. Master MACD\MasterMACD-UserGuide.pdf,91,strategy-book,PDF-1.4 2 0 obj Length 3 0 R/Filter/FlateDecode stream endstream endobj 3 0 obj,Y
wait for test\31 dec 23\Indicator Vault - All Indicators (incl. Bonus Indicators)\01 Indicators\18. Vertical Bar Setup\guide.pdf,190,ea-manual,PDF-1.7 1 0 obj Type/Catalog/Pages 2 0 R/Lang(en-US) /StructTreeRoot 24 0 R/MarkInfo Marked true,N
wait for test\31 dec 23\Indicator Vault - All Indicators (incl. Bonus Indicators)\01 Indicators\19. Harmonic Pattern Indicator\HarmonicIndicator-UserGuide.pdf,62,strategy-book,PDF-1.5 1 0 obj Type /Catalog Pages 2 0 R endobj 2 0 obj,Y
wait for test\31 dec 23\Indicator Vault - All Indicators (incl. Bonus Indicators)\01 Indicators\20. Trigger Zones\guide.pdf,220,ea-manual,PDF-1.5 3 0 obj Type /Page Parent 2 0 R Resources ProcSet [/PDF /Text,Y
wait for test\31 dec 23\Indicator Vault - All Indicators (incl. Bonus Indicators)\01 Indicators\21. Logic Day Trading\user-guide.pdf,210,ea-manual,PDF-1.4 2 0 obj Length 3 0 R/Filter/FlateDecode stream Z.;6=g7 endstream endobj 3 0,Y
wait for test\31 dec 23\Indicator Vault - All Indicators (incl. Bonus Indicators)\01 Indicators\22. Engulfing Setup Indicator\guide.pdf,190,strategy-book,PDF-1.5 1 0 obj Type/Catalog/Pages 2 0 R/Lang(en-US) /StructTreeRoot 24 0 R/MarkInfo Marked true,Y
wait for test\31 dec 23\Indicator Vault - All Indicators (incl. Bonus Indicators)\01 Indicators\23. Vertical Bar Indicator\VerticalBar-User-Guide.pdf,224,ea-manual,PDF-1.5 3 0 obj Type /Page Parent 2 0 R Resources ProcSet [/PDF /Text,N
wait for test\31 dec 23\Indicator Vault - All Indicators (incl. Bonus Indicators)\01 Indicators\24. Easy Wolfe Wave Indicator\EasyWolfeWave-UserGuide.pdf,138,strategy-book,PDF-1.3 5 0 obj Length 6 0 R/Filter /FlateDecode stream J7]uTM NBWendstream endobj 6,Y
wait for test\31 dec 23\Indicator Vault - All Indicators (incl. Bonus Indicators)\01 Indicators\25. Algo Renko Chart Plug-in\AlgoRenko-Charts-User-Guide.pdf,526,strategy-book,PDF-1.5 6 0 obj Type /XObject Subtype /Image BitsPerComponent 8 Width 205 Height 377,N
wait for test\31 dec 23\Indicator Vault - All Indicators (incl. Bonus Indicators)\01 Indicators\26. Smart Swing Cloud Indicator\SmartSwing-UserGuide.pdf,62,ea-manual,PDF-1.5 1 0 obj Type /Catalog Pages 2 0 R endobj 2 0 obj,N
wait for test\31 dec 23\Indicator Vault - All Indicators (incl. Bonus Indicators)\01 Indicators\27. Candlestick Pattern Indicator\CandlestickPatterns-UserGuide.pdf,63,ea-manual,PDF-1.5 1 0 obj Type /Catalog Pages 2 0 R endobj 2 0 obj,Y
wait for test\31 dec 23\Indicator Vault - All Indicators (incl. Bonus Indicators)\01 Indicators\28. Chart Pattern Indicator\PricePatterns-UserGuide.pdf,134,ea-manual,PDF-1.4 5 0 obj Length 6 0 R/Filter /FlateDecode stream endstream endobj 6 0,Y
wait for test\31 dec 23\Indicator Vault - All Indicators (incl. Bonus Indicators)\01 Indicators\29. Divergence Solution Indicator\user-guide.pdf,193,strategy-book,Divergence signal guide,Y
wait for test\31 dec 23\Indicator Vault - All Indicators (incl. Bonus Indicators)\01 Indicators\30. Currency Strength Solution Indicator\user-guide.pdf,194,ea-manual,PDF-1.7 1 0 obj Type/Catalog/Pages 2 0 R/Lang(en-US) /StructTreeRoot 24 0 R/MarkInfo Marked true,Y
wait for test\31 dec 23\Indicator Vault - All Indicators (incl. Bonus Indicators)\01 Indicators\31. Easy Sine Wave Indicator\EasySineWave-UserGuide.pdf,138,ea-manual,"PDF-1.3 5 0 obj Length 6 0 R/Filter /FlateDecode stream TsQ4,Zq]3+ iYX[BD@ 8&bZAk 7Sendstream",N
wait for test\31 dec 23\Indicator Vault - All Indicators (incl. Bonus Indicators)\01 Indicators\32. Scalping Solution Indicator\guide.pdf,210,strategy-book,Scalping strategy or EA guide,Y
wait for test\31 dec 23\Indicator Vault - All Indicators (incl. Bonus Indicators)\01 Indicators\33. Price-Based Renko Chart Plug-In\user-guide.pdf,512,strategy-book,PDF-1.5 3 0 obj Type /Page Parent 2 0 R Resources ProcSet [/PDF /Text,N
wait for test\31 dec 23\Indicator Vault - All Indicators (incl. Bonus Indicators)\01 Indicators\34. Better Tillson Moving Average Indicator\BetterTillson-UserGuide.pdf,138,ea-manual,PDF-1.3 5 0 obj Length 6 0 R/Filter /FlateDecode stream yL;ec _8 cBF92L endstream,N
wait for test\31 dec 23\Indicator Vault - All Indicators (incl. Bonus Indicators)\01 Indicators\35. Easy Supply Demand Indicator\EasySupplyDemand-UserGuide.pdf,190,strategy-book,Supply-demand / order-block trading rules,Y
wait for test\31 dec 23\Indicator Vault - All Indicators (incl. Bonus Indicators)\01 Indicators\36. Pullback Solution Indicator\user-guide.pdf,210,strategy-book,PDF-1.4 2 0 obj Length 3 0 R/Filter/FlateDecode stream endstream endobj 3 0 obj,Y
wait for test\31 dec 23\Indicator Vault - All Indicators (incl. Bonus Indicators)\01 Indicators\37. Hidden Divergence Pro Indicator\user-guide.pdf,213,strategy-book,Divergence signal guide,Y
wait for test\31 dec 23\Indicator Vault - All Indicators (incl. Bonus Indicators)\01 Indicators\38. Pin Bar Dashboard Indicator\guide.pdf,194,strategy-book,PDF-1.7 1 0 obj Type/Catalog/Pages 2 0 R/Lang(en-US) /StructTreeRoot 24 0 R/MarkInfo Marked true,Y
wait for test\31 dec 23\Indicator Vault - All Indicators (incl. Bonus Indicators)\01 Indicators\39. Head and Shoulders Indicator\guide.pdf,194,ea-manual,PDF-1.7 1 0 obj Type/Catalog/Pages 2 0 R/Lang(en-US) /StructTreeRoot 24 0 R/MarkInfo Marked true,Y
wait for test\31 dec 23\Indicator Vault - All Indicators (incl. Bonus Indicators)\01 Indicators\40. Pro Stochastic Divergence\user-guide.pdf,81,ea-manual,Divergence signal guide,Y
wait for test\31 dec 23\Indicator Vault - All Indicators (incl. Bonus Indicators)\01 Indicators\41. Pro CCI Divergence\user-guide.pdf,81,ea-manual,Divergence signal guide,Y
wait for test\31 dec 23\Indicator Vault - All Indicators (incl. Bonus Indicators)\01 Indicators\42. Pro RSI Divergence\user-guide.pdf,82,ea-manual,Divergence signal guide,Y
wait for test\31 dec 23\Indicator Vault - All Indicators (incl. Bonus Indicators)\01 Indicators\43. Pro OsMA Divergence\user-guide.pdf,81,ea-manual,Divergence signal guide,Y
wait for test\31 dec 23\Indicator Vault - All Indicators (incl. Bonus Indicators)\01 Indicators\44. MACD Bollinger Pro\user-guide.pdf,81,ea-manual,Manual/setup guide: user-guide,Y
wait for test\31 dec 23\Indicator Vault - All Indicators (incl. Bonus Indicators)\01 Indicators\45. Pure MACD Divergence\user-guide.pdf,81,ea-manual,Divergence signal guide,Y
wait for test\31 dec 23\Indicator Vault - All Indicators (incl. Bonus Indicators)\01 Indicators\46. Dual Divergence\user-guide.pdf,99,ea-manual,Divergence signal guide,Y
wait for test\31 dec 23\Indicator Vault - All Indicators (incl. Bonus Indicators)\01 Indicators\47. Weis Wave Pro\user-guide.pdf,82,ea-manual,Manual/setup guide: user-guide,Y
wait for test\31 dec 23\Indicator Vault - All Indicators (incl. Bonus Indicators)\01 Indicators\48. Trend Symphony\user-guide.pdf,82,ea-manual,Manual/setup guide: user-guide,Y
wait for test\31 dec 23\Indicator Vault - All Indicators (incl. Bonus Indicators)\01 Indicators\49. Versatile Super Trend\user-guide.pdf,83,ea-manual,Manual/setup guide: user-guide,Y
wait for test\31 dec 23\Indicator Vault - All Indicators (incl. Bonus Indicators)\01 Indicators\50. Vertical Bar Dashboard\User Guide.pdf,107,ea-manual,PDF-1.3 4 0 obj Length 5 0 R /Filter /FlateDecode stream endstream endobj 5,N
wait for test\31 dec 23\Indicator Vault - All Indicators (incl. Bonus Indicators)\01 Indicators\51. Versatile Bollinger Bands\user-guide.pdf,82,ea-manual,Manual/setup guide: user-guide,Y
wait for test\31 dec 23\Indicator Vault - All Indicators (incl. Bonus Indicators)\01 Indicators\52. Better Oscillator\user-guide.pdf,210,ea-manual,PDF-1.4 2 0 obj Length 3 0 R/Filter/FlateDecode stream aw=8re endstream endobj 3 0,Y
wait for test\31 dec 23\Indicator Vault - All Indicators (incl. Bonus Indicators)\02 Bonus Indicators\01 Fib Clusters\FibCluster-UserGuide.pdf,183,ea-manual,PDF-1.5 3 0 obj Type /Page Parent 2 0 R Resources ProcSet [/PDF /Text,N
wait for test\31 dec 23\Indicator Vault - All Indicators (incl. Bonus Indicators)\02 Bonus Indicators\02 Easy Darvas Box\EasyDarvasBox-UserGuide.pdf,139,strategy-book,PDF-1.3 5 0 obj Length 6 0 R/Filter /FlateDecode stream s#BFszw 92endstream endobj 6,Y
wait for test\31 dec 23\Indicator Vault - All Indicators (incl. Bonus Indicators)\02 Bonus Indicators\05 Adaptive Stoploss Indicator\AdjustableStop-User-Guide.pdf,183,ea-manual,PDF-1.5 3 0 obj Type /Page Parent 2 0 R Resources ProcSet [/PDF /Text,Y
wait for test\31 dec 23\Indicator Vault - All Indicators (incl. Bonus Indicators)\02 Bonus Indicators\06 Flex Pin Bar  Indicator\FlexPinBar-User-Guide.pdf,611,strategy-book,PDF-1.5 3 0 obj Type /Page Parent 2 0 R Resources ProcSet [/PDF /Text,Y
wait for test\31 dec 23\Indicator Vault - All Indicators (incl. Bonus Indicators)\02 Bonus Indicators\07 Solid Double Bar  Indicator\SolidDoublebar-Userguide.pdf,219,ea-manual,PDF-1.5 3 0 obj Type /Page Parent 2 0 R Resources ProcSet [/PDF /Text,Y
wait for test\31 dec 23\Indicator Vault - All Indicators (incl. Bonus Indicators)\03 Super Bonus - Dashboards\01 Candlestick Dashboard\CandlestickDashboard-UserGuide.pdf,161,ea-manual,PDF-1.3 5 0 obj Length 6 0 R/Filter /FlateDecode stream vDqriE mmUFNo T3#B=d endstream,N
wait for test\31 dec 23\Indicator Vault - All Indicators (incl. Bonus Indicators)\03 Super Bonus - Dashboards\02 Chart Pattern Dashboard\ChartPatternDashboard-UserGuide.pdf,160,ea-manual,PDF-1.3 5 0 obj Length 6 0 R/Filter /FlateDecode stream JlOHI1 ue@=[} endstream endobj,N
wait for test\31 dec 23\Indicator Vault - All Indicators (incl. Bonus Indicators)\03 Super Bonus - Dashboards\06 Reversal Dashboard\guide.pdf,194,strategy-book,PDF-1.5 1 0 obj Type/Catalog/Pages 2 0 R/Lang(en-US) /StructTreeRoot 24 0 R/MarkInfo Marked true,Y
